Titre,Circonscription,Mandat parlementaire,Parti politique d'adhésion
Laurence Abeille,Val-de-Marne (06),Député,Europe Écologie Les Verts
Patricia Adam,Finistère (2),Député,Parti socialiste
Leila Aïchi,Paris,Sénateur,Europe Écologie Les Verts
Sylviane Alaux,Pyrénées-Atlantiques (6),Député,Parti socialiste
Brigitte Allain,Dordogne (2),Député,Europe Écologie Les Verts
Michèle Alliot-Marie,Sud-Ouest,Député Européen,Les Républicains
Nicole Ameline,Calvados (4),Député,Les Républicains
Michèle André,Puy-de-Dôme,Sénateur,Parti socialiste
Sylvie Andrieux,Bouches-du-Rhône (03),Député,Sans étiquette
Nathalie Appéré,Ille-et-Vilaine (2),Député,Parti socialiste
Aline Archimbaud,Seine-Saint-Denis,Sénateur,Union des Démocrates et des Ecologistes
Marie-Christine Arnautu,Sud-Est,Député Européen,Front National
Laurence Arribagé,Haute-Garonne (03),Député,Les Républicains
Éliane Assassi,Seine-Saint-Denis,Sénateur,Parti Communiste Français
Isabelle Attard,Calvados (5),Député,Sans étiquette
Danielle Auroi,Puy-de-Dôme (3),Député,Europe Écologie Les Verts
Ericka Bareigts,Réunion (1),Député,Parti socialiste
Delphine Bataille,Nord,Sénateur,Parti socialiste
Delphine Batho,Deux-Sèvres (2),Député,Parti socialiste
Marie-Noëlle Battistel,Isère (04),Député,Parti socialiste
Catherine Beaubatie,Haute-Vienne (3),Député,Parti socialiste
Marie-France Beaufils,Indre-et-Loire,Sénateur,Front De Gauche
Marie-Françoise Bechtel,Aisne (4),Député,République Moderne
Huguette Bello,Réunion (2),Député,Pour La Réunion
Esther Benbassa,Val-de-Marne,Sénateur,Europe Écologie Les Verts
Pervenche Berès,Ile-de-France et Français établis hors de France,Député Européen,Parti socialiste
Karine Berger,Hautes-Alpes (1),Député,Parti socialiste
Joëlle Bergeron,Ouest,Député Européen,Sans étiquette
Chantal Berthelot,Guyane (2),Député,A Gauche en Guyane
Véronique Besse,Vendée (4),Député,Mouvement Pour la France
Gisèle Biémouret,Gers (2),Député,Parti socialiste
Dominique Bilde,Est,Député Européen,Front National
Annick Billon,Vendée,Sénateur,Nouveau Centre/UDI
Marie-Christine Blandin,Nord,Sénateur,Europe Écologie Les Verts
Maryvonne Blondin,Finistère,Sénateur,Parti socialiste
Nicole Bonnefoy,Charente,Sénateur,Parti socialiste
Michèle Bonneton,Isère (09),Député,Europe Écologie Les Verts
Natacha Bouchart,Pas-de-Calais,Sénateur,Les Républicains
Corinne Bouchoux,Maine-et-Loire ,Sénateur,Europe Écologie Les Verts
Marie-Odile Bouillé,Loire-Atlantique (08),Député,Parti socialiste
Brigitte Bourguignon,Pas-de-Calais (06),Député,Parti socialiste
Marie-Christine Boutonnet,Ile-de-France et Français établis hors de France,Député Européen,Front National
Kheira Bouziane-Laroussi,Côte-d'Or (3),Député,Parti socialiste
Valérie Boyer,Bouches-du-Rhône (01),Député,Les Républicains
Marine Brenier,Alpes-Maritimes (5),Député,Les Républicains
Nicole Bricq,Seine-et-Marne,Sénateur,Parti socialiste
Isabelle Bruneau,Indre (2),Député,Parti socialiste
Marie-George Buffet,Seine-Saint-Denis (04),Député,Parti Communiste Français
Sabine Buis,Ardèche (3),Député,Parti socialiste
Sylviane Bulteau,Vendée (2),Député,Parti socialiste
Claire-Lise Campion,Essonne,Sénateur,Parti socialiste
Agnès Canayer,Seine-Maritime,Sénateur,Les Républicains
Colette Capdevielle,Pyrénées-Atlantiques (5),Député,Parti socialiste
Marie-Arlette Carlotti,Bouches-du-Rhône (05),Député,Parti socialiste
Fanélie Carrey-Conte,Paris (15),Député,Parti socialiste
Martine Carrillon-Couvreur,Nièvre (1),Député,Parti socialiste
Françoise Cartron,Gironde,Sénateur,Parti socialiste
Laurent Cathala,Val-de-Marne (02),Député,Parti socialiste
Caroline Cayeux,Oise,Sénateur,Les Républicains
Nathalie Chabanne,Pyrénées-Atlantiques (2),Député,Parti socialiste
Anne Chain-Larché,Seine-et-Marne,Sénateur,Les Républicains
Marie-Anne Chapdelaine,Ille-et-Vilaine (1),Député,Parti socialiste
Dominique Chauvel,Seine-Maritime (10),Député,Parti socialiste
Karine Claireaux,Saint-Pierre-et-Miquelon,Sénateur,Parti socialiste
Marie-Françoise Clergeau,Loire-Atlantique (02),Député,Parti socialiste
Laurence Cohen,Val-de-Marne,Sénateur,Parti Communiste Français
Hélène Conway-Mouret,Français établis hors de France,Sénateur,Parti socialiste
Valérie Corre,Loiret (6),Député,Parti socialiste
Catherine Coutelle,Vienne (2),Député,Parti socialiste
Pascale Crozon,Rhône (06),Député,Parti socialiste
Cécile Cukierman,Loire,Sénateur,Parti Communiste Français
Mireille D'Ornano,Sud-Est,Député Européen,Front National
Seybah Dagoma,Paris (05),Député,Parti socialiste
Marie-Christine Dalloz,Jura (2),Député,Les Républicains
Karine Daniel,Loire-Atlantique (3),Député,Parti socialiste
Rachida Dati,Ile-de-France et Français établis hors de France,Député Européen,Les Républicains
Annie David,Isère,Sénateur,Parti Communiste Français
Laure de La Raudière,Eure-et-Loir (3),Député,Les Républicains
Marie-France de Rose,Hauts-de-Seine,Sénateur,Les Républicains
Marielle De Sarnez,Ile-de-France et Français établis hors de France,Député Européen,Mouvement Démocrate (MoDEM)
Isabelle Debré,Hauts-de-Seine,Sénateur,Les Républicains
Angélique Delahaye,Massif-Central Centre,Député Européen,Les Républicains
Florence Delaunay,Landes (1),Député,Parti socialiste
Michèle Delaunay,Gironde (02),Député,Parti socialiste
Carole Delga,Haute-Garonne (08),Député,Parti socialiste
Karima Delli,Nord-Ouest,Député Européen,Europe Écologie Les Verts
Michelle Demessine,Nord,Sénateur,Parti Communiste Français
Catherine Deroche,Maine-et-Loire,Sénateur,Les Républicains
Jacky Deromedi,Français établis hors de France,Sénateur,Les Républicains
Marie-Hélène Des Esgaulx,Gironde,Sénateur,Les Républicains
Françoise Descamps-Crosnier,Yvelines (08),Député,Parti socialiste
Chantal Deseyne,Eure-et-Loir ,Sénateur,Les Républicains
Sophie Dessus,Corrèze (1),Député,Parti socialiste
Catherine Di Folco,Rhône,Sénateur,Divers droite
Évelyne Didier,Meurthe-et-Moselle,Sénateur,Parti Communiste Français
Sophie Dion,Haute-Savoie (6),Député,Les Républicains
Élisabeth Doineau,Mayenne,Sénateur,UDI
Fanny Dombre Coste,Hérault (3),Député,Parti socialiste
Sandrine Doucet,Gironde (01),Député,Parti socialiste
Jeanine Dubié,Hautes-Pyrénées (2),Député,Parti Radical de Gauche
Marianne Dubois,Loiret (5),Député,Les Républicains
Françoise Dubois,Sarthe (1),Député,Parti socialiste
Virginie Duby-Muller,Haute-Savoie (4),Député,Les Républicains
Marie-Annick Duchêne,Yvelines,Sénateur,Sans étiquette
Cécile Duflot,Paris (06),Député,Europe Écologie Les Verts
Anne-Lise Dufour-Tonini,Nord (19),Député,Parti socialiste
Françoise Dumas,Gard (1),Député,Parti socialiste
Laurence Dumont,Calvados (2),Député,Parti socialiste
Nicole Duranton,Eure,Sénateur,Les Républicains
Josette Durrieu,Hautes-Pyrénées,Sénateur,Parti socialiste
Anne Émery-Dumas,Nièvre,Sénateur,Parti socialiste
Corinne Erhel,Côtes-d'Armor (5),Député,Parti socialiste
Sophie Errante,Loire-Atlantique (10),Député,Parti socialiste
Frédérique Espagnac,Pyrénées-Atlantiques,Sénateur,Parti socialiste
Dominique Estrosi Sassone,Alpes-Maritimes,Sénateur,Les Républicains
Marie-Hélène Fabre,Aude (2),Député,Parti socialiste
Martine Faure,Gironde (12),Député,Parti socialiste
Françoise Férat,Marne,Sénateur,UDI
Corinne Féret,Calvados,Sénateur,Parti socialiste
Aurélie Filippetti,Moselle (1),Député,Parti socialiste
Geneviève Fioraso,Isère (01),Député,Parti socialiste
Marie-Louise Fort,Yonne (3),Député,Les Républicains
Valérie Fourneyron,Seine-Maritime (01),Député,Parti socialiste
Michèle Fournier-Armand,Vaucluse (1),Député,Parti socialiste
Jacqueline Fraysse,Hauts-de-Seine (04),Député,Fédération pour une alternative sociale et écologique
Geneviève Gaillard,Deux-Sèvres (1),Député,Parti socialiste
Joëlle Garriaud-Maylam,Français établis hors de France,Sénateur,Les Républicains
Françoise Gatel,Ille-et-Vilaine,Sénateur,UDI
Annie Genevard,Doubs (5),Député,Les Républicains
Hélène Geoffroy,Rhône (07),Député,Parti socialiste
Frédérique Gerbaud,Indre,Sénateur,Les Républicains
Samia Ghali,Bouches-du-Rhône,Sénateur,Parti socialiste
Dominique Gillot,Val-d'Oise,Sénateur,Parti socialiste
Éliane Giraud,Isère,Sénateur,Parti socialiste
Colette Giudicelli,Alpes-Maritimes,Sénateur,Les Républicains
Sylvie Goddyn,Nord-Ouest,Député Européen,Front National
Brigitte Gonthier-Maurin,Hauts-de-Seine,Sénateur,Parti Communiste Français
Geneviève Gosselin-Fleury,Manche (4),Député,Parti socialiste
Pascale Got,Gironde (05),Député,Parti socialiste
Sylvie Goulard,Sud-Est,Député Européen,Mouvement Démocrate (MoDEM)
Nathalie Goulet,Orne,Sénateur,UDI
Jacqueline Gourault,Loir-et-Cher,Sénateur,Mouvement Démocrate (MoDEM)
Linda Gourjade,Tarn (3),Député,Parti socialiste
Sylvie Goy-Chavent,Ain,Sénateur,Parti Radical/UDI
Claude Greff,Indre-et-Loire (2),Député,Les Républicains
Estelle Grelier,Seine-Maritime (09),Député,Parti socialiste
Nathalie Griesbeck,Est,Député Européen,Mouvement Démocrate (MoDEM)
Anne Grommerch,Moselle (9),Député,Les Républicains
Françoise Grossetête,Sud-Est,Député Européen,Les Républicains
Arlette Grosskost,Haut-Rhin (5),Député,Les Républicains
Pascale Gruny,Aisne ,Sénateur,Les Républicains
Françoise Guégot,Seine-Maritime (02),Député,Les Républicains
Edith Gueugneau,Saône-et-Loire (2),Député,Divers gauche
Élisabeth Guigou,Seine-Saint-Denis (06),Député,Parti socialiste
Sylvie Guillaume,Sud-Est,Député Européen,Parti socialiste
Annie Guillemot,Rhône,Sénateur,Parti socialiste
Chantal Guittet,Finistère (5),Député,Parti socialiste
Odette Herviaux,Morbihan,Sénateur,Parti socialiste
Gélita Hoarau,La Réunion,Sénateur,Parti Communiste Français
Gilda Hobert,Rhône (01),Député,Parti Radical de Gauche
Joëlle Huillier,Isère (10),Député,Parti socialiste
Christiane Hummel,Var,Sénateur,Les Républicains
Sandrine Hurel,Seine-Maritime (06),Député,Parti socialiste
Monique Iborra,Haute-Garonne (06),Député,Sans étiquette
Corinne Imbert,Charente-Maritime,Sénateur,Les Républicains
Françoise Imbert,Haute-Garonne (05),Député,Parti socialiste
Sophie Joissains,Bouches-du-Rhône,Sénateur,Parti Radical/UDI
Eva Joly,Ile-de-France et Français établis hors de France,Député Européen,Europe Écologie Les Verts
Chantal Jouanno,Paris,Sénateur,UDI
Gisèle Jourda,Aude,Sénateur,Parti socialiste
Mireille Jouve,Bouches-du-Rhône,Sénateur,Sans étiquette
Christiane Kammermann,Français établis hors de France,Sénateur,Les Républicains
Marietta Karamanli,Sarthe (2),Député,Parti socialiste
Fabienne Keller,Bas-Rhin ,Sénateur,Les Républicains
Bariza Khiari,Paris,Sénateur,Parti socialiste
Chaynesse Khirouni,Meurthe-et-Moselle (1),Député,Parti socialiste
Nathalie Kosciusko-Morizet,Essonne (04),Député,Les Républicains
Françoise Laborde,Haute-Garonne,Sénateur,Parti Radical de Gauche
Bernadette Laclais,Savoie (4),Député,Parti socialiste
Valérie Lacroute,Seine-et-Marne (02),Député,Les Républicains
Conchita Lacuey,Gironde (04),Député,Parti socialiste
Sonia Lagarde,Nouvelle-Calédonie (1),Député,UDI
Élisabeth Lamure,Rhône,Sénateur,Les Républicains
Anne-Christine Lang,Paris (09),Député,Parti socialiste
Colette Langlade,Dordogne (3),Député,Parti socialiste
Isabelle Le Callennec,Ille-et-Vilaine (5),Député,Les Républicains
Anne-Yvonne Le Dain,Hérault (2),Député,Parti socialiste
Viviane Le Dissez,Côtes-d'Armor (2),Député,Parti socialiste
Constance Le Grip,Ile-de-France et Français établis hors de France,Député Européen,Les Républicains
Annie Le Houérou,Côtes-d'Armor (4),Député,Parti socialiste
Annick Le Loch,Finistère (7),Député,Parti socialiste
Marine Le Pen,Nord-Ouest,Député Européen,Front National
Marie-Thérèse Le Roy,Finistère (1),Député,Parti socialiste
Marie Le Vern,Seine-Maritime (6),Député,Parti socialiste
Marylise Lebranchu,Finistère (4),Député,Parti socialiste
Catherine Lemorton,Haute-Garonne (01),Député,Parti socialiste
Claudine Lepage,Français établis hors de France,Sénateur,Parti socialiste
Annick Lepetit,Paris (03),Député,Parti socialiste
Valérie Létard,Nord,Sénateur,UDI
Geneviève Levy,Var (1),Député,Les Républicains
Marie-Noëlle Lienemann,Paris,Sénateur,Parti socialiste
Martine Lignières-Cassou,Pyrénées-Atlantiques (1),Député,Parti socialiste
Audrey Linkenheld,Nord (02),Député,Parti socialiste
Anne-Catherine Loisier,Côte-d'Or,Sénateur,Sans étiquette
Vivette Lopez,Gard,Sénateur,Les Républicains
Gabrielle Louis-Carabin,Guadeloupe (2),Député,Divers gauche
Lucette Lousteau,Lot-et-Garonne (1),Député,Parti socialiste
Véronique Louwagie,Orne (2),Député,Les Républicains
Hermeline Malherbe,Pyrénées-Orientales,Sénateur,Parti socialiste
Jacqueline Maquet,Pas-de-Calais (02),Député,Parti socialiste
Marie-Lou Marcel,Aveyron (2),Député,Parti socialiste
Marion Maréchal-Le Pen,Vaucluse (3),Député,Front National
Martine Martinel,Haute-Garonne (04),Député,Parti socialiste
Frédérique Massat,Ariège (1),Député,Parti socialiste
Véronique Massonneau,Vienne (4),Député,Union des Démocrates et des Ecologistes
Sandrine Mazetier,Paris (08),Député,Parti socialiste
Joëlle Mélin,Sud-Ouest,Député Européen,Front National
Colette Mélot,Seine-et-Marne,Sénateur,Les Républicains
Marie Mercier,Saône-et-Loire,Sénateur,Les Républicains
Michelle Meunier,Loire-Atlantique,Sénateur,Parti socialiste
Danielle Michel,Landes,Sénateur,Parti socialiste
Brigitte Micouleau,Haute-Garonne,Sénateur,Les Républicains
Marie-Pierre Monier,Drôme,Sénateur,Parti socialiste
Sophie Montel,Est,Député Européen,Front National
Nadine Morano,Est,Député Européen,Les Républicains
Patricia Morhet-Richaud,Hautes-Alpes,Sénateur,Les Républicains
Elisabeth Morin-Chartier,Ouest,Député Européen,Les Républicains
Catherine Morin-Desailly,Seine-Maritime,Sénateur,Nouveau Centre/UDI
Dominique Nachury,Rhône (04),Député,Les Républicains
Nathalie Nieson,Drôme (4),Député,Parti socialiste
Maud Olivier,Essonne (05),Député,Parti socialiste
Dominique Orliac,Lot (1),Député,Parti Radical de Gauche
Monique Orphé,Réunion (6),Député,Parti socialiste
Luce Pane,Seine-Maritime (03),Député,Parti socialiste
George Pau-Langevin,Paris (15),Député,Parti socialiste
Valérie Pécresse,Yvelines (02),Député,Les Républicains
Stéphanie Pernod Beaudon,Ain (3),Député,Les Républicains
Marie-Françoise Perol-Dumont,Haute-Vienne,Sénateur,Parti socialiste
Sylvia Pinel,Tarn-et-Garonne (2),Député,Parti Radical de Gauche
Christine Pires Beaune,Puy-de-Dôme (2),Député,Parti socialiste
Elisabeth Pochon,Seine-Saint-Denis (08),Député,Parti socialiste
Berengère Poletti,Ardennes (1),Député,Les Républicains
Barbara Pompili,Somme (2),Député,Sans étiquette
Josette Pons,Var (6),Député,Les Républicains
Régine Povéda,Lot-et-Garonne (2),Député,Parti socialiste
Sophie Primas,Yvelines,Sénateur,Les Républicains
Catherine Procaccia,Val-de-Marne,Sénateur,Les Républicains
Christine Prunaud,Côtes-d'Armor,Sénateur,Parti Communiste Français
Catherine Quéré,Charente-Maritime (3),Député,Parti socialiste
Valérie Rabault,Tarn-et-Garonne (1),Député,Parti socialiste
Monique Rabin,Loire-Atlantique (09),Député,Parti socialiste
Marie Recalde,Gironde (06),Député,Parti socialiste
Christine Revault D'Allonnes Bonnefoy,Ile-de-France et Français établis hors de France,Député Européen,Parti socialiste
Marie-Line Reynaud,Charente (2),Député,Parti socialiste
Stéphanie Riocreux,Indre-et-Loire,Sénateur,Parti socialiste
Michèle Rivasi,Sud-Est,Député Européen,Europe Écologie Les Verts
Évelyne Rivollier,Loire,Sénateur,Divers gauche
Sophie Rohfritsch,Bas-Rhin (4),Député,Les Républicains
Barbara Romagnan,Doubs (1),Député,Parti socialiste
Virginie Rozière,Sud-Ouest,Député Européen,Parti Radical de Gauche
Maïna Sage,Polynésie Française (1),Député,Tapura Huiraatira/UDI
Tokia Saïfi,Nord-Ouest,Député Européen,Les Républicains
Anne Sander,Est,Député Européen,Les Républicains
Béatrice Santais,Savoie (3),Député,Parti socialiste
Eva Sas,Essonne (07),Député,Europe Écologie Les Verts
Odile Saugues,Puy-de-Dôme (1),Député,Parti socialiste
Patricia Schillinger,Haut-Rhin,Sénateur,Parti socialiste
Claudine Schmid,Français établis hors de France (06),Député,Les Républicains
Julie Sommaruga,Hauts-de-Seine (11),Député,Parti socialiste
Michèle Tabarot,Alpes-Maritimes (9),Député,Les Républicains
Suzanne Tallard,Charente-Maritime (2),Député,Parti socialiste
Catherine Tasca,Yvelines,Sénateur,Parti socialiste
Lana Tetuanui,Polynésie Française,Sénateur,Tapura Huiraatira/UDI
Isabelle Thomas,Ouest,Député Européen,Parti socialiste
Nelly Tocqueville,Seine-Maritime,Sénateur,Parti socialiste
Sylvie Tolmont,Sarthe (4),Député,Parti socialiste
Catherine Troallic,Seine-Maritime (08),Député,Parti socialiste
Catherine Troendlé,Haut-Rhin,Sénateur,Les Républicains
Mylène Troszczynski,Nord-Ouest,Député Européen,Front National
Cécile Untermaier,Saône-et-Loire (4),Député,Parti socialiste
Catherine Vautrin,Marne (2),Député,Les Républicains
Marie-Christine Vergiat,Sud-Est,Député Européen,Parti Communiste Français
Évelyne Yonnet,Seine-Saint-Denis,Sénateur,Parti socialiste
Paola Zanetti,Moselle (7),Député,Parti socialiste
Marie-Jo Zimmermann,Moselle (3),Député,Les Républicains
