Titre,Circonscription,Mandat parlementaire,Parti politique d'adhésion,
Patrick Abate,Moselle,Sénateur,Parti Communiste Français,
Philippe Adnot,Aube,Sénateur,Mouvement Libéral et Modéré,
Leila Aïchi,Paris,Sénateur,Europe Écologie Les Verts,
Pascal Allizard,Calvados,Sénateur,Les Républicains,
Michel Amiel,Bouches-du-Rhône,Sénateur,La Force du 13,
Michèle André,Puy-de-Dôme,Sénateur,Parti socialiste,
Maurice Antiste,Martinique,Sénateur,Parti socialiste,
Alain Anziani,Gironde,Sénateur,Parti socialiste,
Aline Archimbaud,Seine-Saint-Denis,Sénateur,Union des Démocrates et des Ecologistes,
Guillaume Arnell,Saint-Martin,Sénateur,Rassemblement Responsabilité Réussite,
Éliane Assassi,Seine-Saint-Denis,Sénateur,Parti Communiste Français,
David Assouline,Paris,Sénateur,Parti socialiste,
Dominique Bailly,Nord,Sénateur,Parti socialiste,
Gérard Bailly,Jura ,Sénateur,Les Républicains,
Gilbert Barbier,Jura ,Sénateur,Les Républicains,
François Baroin,Aube,Sénateur,Les Républicains,
Philippe Bas,Manche,Sénateur,Les Républicains,
Delphine Bataille,Nord,Sénateur,Parti socialiste,
Marie-France Beaufils,Indre-et-Loire,Sénateur,Front De Gauche,
Christophe Béchu,Maine-et-Loire,Sénateur,Les Républicains,
Esther Benbassa,Val-de-Marne,Sénateur,Europe Écologie Les Verts,
Claude Bérit-Débat,Dordogne,Sénateur,Parti socialiste,
Michel Berson,Essonne,Sénateur,Parti socialiste,
Alain Bertrand,Lozère,Sénateur,Parti socialiste,
Jérôme Bignon,Somme,Sénateur,Les Républicains,
Jacques Bigot,Bas-Rhin ,Sénateur,Parti socialiste,
Annick Billon,Vendée,Sénateur,Nouveau Centre/UDI,
Michel Billout,Seine-et-Marne,Sénateur,Parti Communiste Français,
Jean Bizet,Manche,Sénateur,Les Républicains,
Marie-Christine Blandin,Nord,Sénateur,Europe Écologie Les Verts,
Maryvonne Blondin,Finistère,Sénateur,Parti socialiste,
Jean-Marie Bockel,Haut-Rhin,Sénateur,Parti Radical/UDI et La Gauche Moderne,
Éric Bocquet,Nord,Sénateur,Parti Communiste Français,
François Bonhomme,Tarn-et-Garonne,Sénateur,Les Républicains,
Philippe Bonnecarrère,Tarn,Sénateur,Sans étiquette,
Nicole Bonnefoy,Charente,Sénateur,Parti socialiste,
Jean-Pierre Bosino,Oise,Sénateur,Parti Communiste Français,
Yannick Botrel,Côtes-d'Armor,Sénateur,Parti socialiste,
Natacha Bouchart,Pas-de-Calais,Sénateur,Les Républicains,
Gilbert Bouchet,Drôme,Sénateur,Les Républicains,
Corinne Bouchoux,Maine-et-Loire ,Sénateur,Europe Écologie Les Verts,
Jean-Claude Boulard,Sarthe,Sénateur,Parti socialiste,
Martial Bourquin,Doubs,Sénateur,Parti socialiste,
Michel Boutant,Charente,Sénateur,Parti socialiste,
Michel Bouvard,Savoie,Sénateur,Les Républicains,
Nicole Bricq,Seine-et-Marne,Sénateur,Parti socialiste,
François-Noël Buffet,Rhône,Sénateur,Les Républicains,
Henri Cabanel,Hérault,Sénateur,Parti socialiste,
Olivier Cadic,Français établis hors de France,Sénateur,UDI,
Jean-Pierre Caffet,Paris,Sénateur,Parti socialiste,
François Calvet,Pyrénées-Orientales,Sénateur,Les Républicains,
Pierre Camani,Lot-et-Garonne,Sénateur,Parti socialiste,
Christian Cambon,Val-de-Marne,Sénateur,Les Républicains,
Claire-Lise Campion,Essonne,Sénateur,Parti socialiste,
Agnès Canayer,Seine-Maritime,Sénateur,Les Républicains,
Michel Canevet,Finistère,Sénateur,UDI,
Jean-Pierre Cantegrit,Français établis hors de France,Sénateur,Les Républicains,
Vincent Capo-Canellas,Seine-Saint-Denis,Sénateur,UDI,
Thierry Carcenac,Tarn,Sénateur,Parti socialiste,
Jean-Noël Cardoux,Loiret,Sénateur,Les Républicains,
Jean-Claude Carle,Haute-Savoie,Sénateur,Les Républicains,
Jean-Louis Carrère,Landes,Sénateur,Parti socialiste,
Françoise Cartron,Gironde,Sénateur,Parti socialiste,
Luc Carvounas,Val-de-Marne,Sénateur,Parti socialiste,
Joseph Castelli,Haute-Corse,Sénateur,Parti Radical de Gauche,
Caroline Cayeux,Oise,Sénateur,Les Républicains,
Bernard Cazeau,Dordogne,Sénateur,Parti socialiste,
Gérard César,Gironde,Sénateur,Les Républicains,
Anne Chain-Larché,Seine-et-Marne,Sénateur,Les Républicains,
Patrick Chaize,Ain,Sénateur,Les Républicains,
Pierre Charon,Paris,Sénateur,Les Républicains,
Daniel Chasseing,Corrèze,Sénateur,Les Républicains,
Alain Chatillon,Haute-Garonne,Sénateur,UDI,
Jacques Chiron,Isère,Sénateur,Parti socialiste,
Olivier Cigolotti,Haute-Loire,Sénateur,Nouveau Centre/UDI,
Karine Claireaux,Saint-Pierre-et-Miquelon,Sénateur,Parti socialiste,
Laurence Cohen,Val-de-Marne,Sénateur,Parti Communiste Français,
Yvon Collin,Tarn-et-Garonne,Sénateur,Parti Radical de Gauche,
Gérard Collomb,Rhône,Sénateur,Parti socialiste,
Pierre-Yves Collombat,Var,Sénateur,Parti socialiste,
François Commeinhes,Hérault,Sénateur,Les Républicains,
Hélène Conway-Mouret,Français établis hors de France,Sénateur,Parti socialiste,
Jacques Cornano,Guadeloupe,Sénateur,Parti socialiste,
Gérard Cornu,Eure-et-Loir,Sénateur,Les Républicains,
Roland Courteau,Aude,Sénateur,Parti socialiste,
Cécile Cukierman,Loire,Sénateur,Parti Communiste Français,
Pierre Cuypers,Seine-et-Marne,Sénateur,Les Républicains,
Philippe Dallier,Seine-Saint-Denis,Sénateur,Les Républicains,
René Danesi,Haut-Rhin,Sénateur,Les Républicains,
Ronan Dantec,Loire-Atlantique,Sénateur,Europe Écologie Les Verts,
Mathieu Darnaud,Ardèche,Sénateur,Les Républicains,
Serge Dassault,Essonne,Sénateur,Les Républicains,
Yves Daudigny,Aisne ,Sénateur,Parti socialiste,
Marc Daunis,Alpes-Maritimes,Sénateur,Parti socialiste,
Annie David,Isère,Sénateur,Parti Communiste Français,
Dominique De Legge,Ille-et-Vilaine,Sénateur,Les Républicains,
Albéric De Montgolfier,Eure-et-Loir,Sénateur,Les Républicains,
Louis-Jean De Nicolay,Sarthe,Sénateur,Les Républicains,
Henri De Raincourt,Yonne,Sénateur,Les Républicains,
Marie-France de Rose,Hauts-de-Seine,Sénateur,Les Républicains,
Isabelle Debré,Hauts-de-Seine,Sénateur,Les Républicains,
Robert Del Picchia,Français établis hors de France,Sénateur,Les Républicains,
Vincent Delahaye,Essonne,Sénateur,Parti Radical/UDI,
Francis Delattre,Val-d'Oise ,Sénateur,Les Républicains,
Bernard Delcros,Cantal,Sénateur,Sans étiquette,
Michel Delebarre,Nord,Sénateur,Parti socialiste,
Michelle Demessine,Nord,Sénateur,Parti Communiste Français,
Gérard Dériot,Allier,Sénateur,Les Républicains,
Catherine Deroche,Maine-et-Loire,Sénateur,Les Républicains,
Jacky Deromedi,Français établis hors de France,Sénateur,Les Républicains,
Marie-Hélène Des Esgaulx,Gironde,Sénateur,Les Républicains,
Jean Desessard,Paris,Sénateur,Europe Écologie Les Verts,
Chantal Deseyne,Eure-et-Loir ,Sénateur,Les Républicains,
Félix Desplan,Guadeloupe,Sénateur,Parti socialiste,
Yves Détraigne,Marne,Sénateur,UDI,
Catherine Di Folco,Rhône,Sénateur,Divers droite,
Évelyne Didier,Meurthe-et-Moselle,Sénateur,Parti Communiste Français,
Élisabeth Doineau,Mayenne,Sénateur,UDI,
Éric Doligé,Loiret ,Sénateur,Les Républicains,
Philippe Dominati,Paris,Sénateur,Les Républicains,
Daniel Dubois,Somme,Sénateur,Nouveau Centre/UDI,
Marie-Annick Duchêne,Yvelines,Sénateur,Sans étiquette,
Alain Dufaut,Vaucluse,Sénateur,Les Républicains,
Jean-Léonce Dupont,Calvados,Sénateur,Nouveau Centre/UDI,
Jérôme Durain,Saône-et-Loire,Sénateur,Parti socialiste,
Alain Duran,Ariège,Sénateur,Parti socialiste,
Nicole Duranton,Eure,Sénateur,Les Républicains,
Josette Durrieu,Hautes-Pyrénées,Sénateur,Parti socialiste,
Louis Duvernois,Français établis hors de France,Sénateur,Les Républicains,
Vincent Éblé,Seine-et-Marne,Sénateur,Parti socialiste,
Anne Émery-Dumas,Nièvre,Sénateur,Parti socialiste,
Jean-Paul Émorine,Saône-et-Loire,Sénateur,Les Républicains,
Philippe Esnol,Yvelines,Sénateur,Parti Radical de Gauche,
Frédérique Espagnac,Pyrénées-Atlantiques,Sénateur,Parti socialiste,
Dominique Estrosi Sassone,Alpes-Maritimes,Sénateur,Les Républicains,
Hubert Falco,Var,Sénateur,Les Républicains,
Christian Favier,Val-de-Marne,Sénateur,Parti Communiste Français,
Françoise Férat,Marne,Sénateur,UDI,
Corinne Féret,Calvados,Sénateur,Parti socialiste,
Jean-Jacques Filleul,Indre-et-Loire,Sénateur,Parti socialiste,
Michel Fontaine,La Réunion,Sénateur,Les Républicains,
Michel Forissier,Rhône,Sénateur,Les Républicains,
François Fortassin,Hautes-Pyrénées,Sénateur,Parti Radical de Gauche,
Thierry Foucaud,Seine-Maritime,Sénateur,Parti Communiste Français,
Alain Fouché,Vienne,Sénateur,Les Républicains,
Bernard Fournier,Loire,Sénateur,Les Républicains,
Jean-Paul Fournier,Gard,Sénateur,Les Républicains,
Christophe-André Frassa,Français établis hors de France,Sénateur,Les Républicains,
Jean-Claude Frécon,Loire,Sénateur,Parti socialiste,
Pierre Frogier,Nouvelle-Calédonie,Sénateur,Rassemblement - Les Républicains,
Jean-Marc Gabouty,Haute-Vienne,Sénateur,Parti Radical/UDI,
Joëlle Garriaud-Maylam,Français établis hors de France,Sénateur,Les Républicains,
Françoise Gatel,Ille-et-Vilaine,Sénateur,UDI,
André Gattolin,Hauts-de-Seine,Sénateur,Europe Écologie Les Verts,
Jean-Claude Gaudin,Bouches-du-Rhône,Sénateur,Les Républicains,
Jacques Gautier,Hauts-de-Seine,Sénateur,Les Républicains,
Jacques Genest,Ardèche,Sénateur,Les Républicains,
Catherine Génisson,Pas-de-Calais,Sénateur,Parti socialiste,
Frédérique Gerbaud,Indre,Sénateur,Les Républicains,
Samia Ghali,Bouches-du-Rhône,Sénateur,Parti socialiste,
Bruno Gilles,Bouches-du-Rhône,Sénateur,Les Républicains,
Dominique Gillot,Val-d'Oise,Sénateur,Parti socialiste,
Jacques Gillot,Guadeloupe,Sénateur,Guadeloupe unie, socialisme et réalités
Éliane Giraud,Isère,Sénateur,Parti socialiste,
Colette Giudicelli,Alpes-Maritimes,Sénateur,Les Républicains,
Jean-Pierre Godefroy,Manche,Sénateur,Parti socialiste,
Brigitte Gonthier-Maurin,Hauts-de-Seine,Sénateur,Parti Communiste Français,
Gaëtan Gorce,Nièvre,Sénateur,Parti socialiste,
Nathalie Goulet,Orne,Sénateur,UDI,
Jacqueline Gourault,Loir-et-Cher,Sénateur,Mouvement Démocrate (MoDEM),
Alain Gournac,Yvelines,Sénateur,Les Républicains,
Sylvie Goy-Chavent,Ain,Sénateur,Parti Radical/UDI,
Jean-Pierre Grand,Hérault,Sénateur,Les Républicains,
Daniel Gremillet,Vosges,Sénateur,Les Républicains,
François Grosdidier,Moselle,Sénateur,Les Républicains,
Jacques Grosperrin,Doubs,Sénateur,Les Républicains,
Pascale Gruny,Aisne ,Sénateur,Les Républicains,
Charles Guené,Haute-Marne,Sénateur,Les Républicains,
Jean-Noël Guérini,Bouches-du-Rhône,Sénateur,Sans étiquette,
Joël Guerriau,Loire-Atlantique,Sénateur,Nouveau Centre/UDI,
Didier Guillaume,Drôme,Sénateur,Parti socialiste,
Annie Guillemot,Rhône,Sénateur,Parti socialiste,
Claude Haut,Vaucluse,Sénateur,Parti socialiste,
Loïc Hervé,Haute-Savoie,Sénateur,Nouveau Centre/UDI,
Odette Herviaux,Morbihan,Sénateur,Parti socialiste,
Gélita Hoarau,La Réunion,Sénateur,Parti Communiste Français,
Michel Houel,Seine-et-Marne,Sénateur,Les Républicains,
Alain Houpert,Côte-d'Or,Sénateur,Les Républicains,
Robert Hue,Val-d'Oise,Sénateur,Mouvement Des Progressistes,
Christiane Hummel,Var,Sénateur,Les Républicains,
Benoît Huré,Ardennes,Sénateur,Les Républicains,
Jean-François Husson,Meurthe-et-Moselle,Sénateur,Les Républicains,
Jean-Jacques Hyest,Seine-et-Marne,Sénateur,Les Républicains,
Corinne Imbert,Charente-Maritime,Sénateur,Les Républicains,
Éric Jeansannetas,Creuse,Sénateur,Parti socialiste,
Sophie Joissains,Bouches-du-Rhône,Sénateur,Parti Radical/UDI,
Chantal Jouanno,Paris,Sénateur,UDI,
Gisèle Jourda,Aude,Sénateur,Parti socialiste,
Mireille Jouve,Bouches-du-Rhône,Sénateur,Sans étiquette,
Alain Joyandet,Haute-Saône,Sénateur,Les Républicains,
Philippe Kaltenbach,Hauts-de-Seine,Sénateur,Sans étiquette,
Christiane Kammermann,Français établis hors de France,Sénateur,Les Républicains,
Antoine Karam,Guyane,Sénateur,Parti socialiste guyanais,
Roger Karoutchi,Hauts-de-Seine,Sénateur,Les Républicains,
Fabienne Keller,Bas-Rhin ,Sénateur,Les Républicains,
Guy-Dominique Kennel,Bas-Rhin ,Sénateur,Les Républicains,
Claude Kern,Bas-Rhin ,Sénateur,Nouveau Centre/UDI,
Bariza Khiari,Paris,Sénateur,Parti socialiste,
Georges Labazée,Pyrénées-Atlantiques,Sénateur,Parti socialiste,
Joël Labbé,Morbihan,Sénateur,Europe Écologie Les Verts,
Françoise Laborde,Haute-Garonne,Sénateur,Parti Radical de Gauche,
Bernard Lalande,Charente-Maritime,Sénateur,Parti socialiste,
Marc Laménie,Ardennes,Sénateur,Les Républicains,
Élisabeth Lamure,Rhône,Sénateur,Les Républicains,
Gérard Larcher,Yvelines,Sénateur,Les Républicains,
Serge Larcher,Martinique,Sénateur,Parti socialiste,
Jean-Jacques Lasserre,Pyrénées-Atlantiques,Sénateur,Mouvement Démocrate (MoDEM),
Robert Laufoaulu,Iles Wallis et Futuna,Sénateur,Les Républicains,
Pierre Laurent,Paris,Sénateur,Parti Communiste Français/Parti de la Gauche Européenne,
Daniel Laurent,Charente-Maritime,Sénateur,Les Républicains,
Nuihau Laurey,Polynésie Française,Sénateur,Tahoeraa Huiraatira/UDI,
Michel Le Scouarnec,Morbihan,Sénateur,Parti Communiste Français,
Jean-Yves Leconte,Français établis hors de France,Sénateur,Parti socialiste,
Antoine Lefèvre,Aisne,Sénateur,Les Républicains,
Jacques Legendre,Nord,Sénateur,Les Républicains,
Jean-Pierre Leleux,Alpes-Maritimes,Sénateur,Les Républicains,
Jean-Baptiste Lemoyne,Yonne,Sénateur,Les Républicains,
Jean-Claude Lenoir,Orne,Sénateur,Les Républicains,
Claudine Lepage,Français établis hors de France,Sénateur,Parti socialiste,
Jean-Claude Leroy,Pas-de-Calais,Sénateur,Parti socialiste,
Philippe Leroy,Moselle,Sénateur,Les Républicains,
Valérie Létard,Nord,Sénateur,UDI,
Marie-Noëlle Lienemann,Paris,Sénateur,Parti socialiste,
Anne-Catherine Loisier,Côte-d'Or,Sénateur,Sans étiquette,
Jean-François Longeot,Doubs,Sénateur,UDI,
Gérard Longuet,Meuse,Sénateur,Les Républicains,
Vivette Lopez,Gard,Sénateur,Les Républicains,
Jeanny Lorgeoux,Loir-et-Cher,Sénateur,Parti socialiste,
Jean-Jacques Lozach,Creuse,Sénateur,Parti socialiste,
Jean-Claude Luche,Aveyron,Sénateur,UDI,
Roger Madec,Paris,Sénateur,Parti socialiste,
Philippe Madrelle,Gironde,Sénateur,Parti socialiste,
Jacques-Bernard Magner,Puy-de-Dôme,Sénateur,Parti socialiste,
Michel Magras,Saint-Barthélemy,Sénateur,Sans étiquette,
Hermeline Malherbe,Pyrénées-Orientales,Sénateur,Parti socialiste,
Claude Malhuret,Allier,Sénateur,Les Républicains,
Christian Manable,Somme,Sénateur,Parti socialiste,
Didier Mandelli,Vendée,Sénateur,Les Républicains,
Alain Marc,Aveyron,Sénateur,Les Républicains,
François Marc,Finistère,Sénateur,Parti socialiste,
Didier Marie,Seine-Maritime,Sénateur,Parti socialiste,
Hervé Marseille,Hauts-de-Seine,Sénateur,UDI,
Patrick Masclet,Nord,Sénateur,Les Républicains,
Jean-Pierre Masseret,Moselle,Sénateur,Parti socialiste,
Jean Louis Masson,Moselle,Sénateur,Démocratie et République,
Hervé Maurey,Eure,Sénateur,Nouveau Centre/UDI,
Jean-François Mayet,Indre,Sénateur,Les Républicains,
Rachel Mazuir,Ain,Sénateur,Parti socialiste,
Pierre Médevielle,Haute-Garonne,Sénateur,Parti Radical/UDI,
Colette Mélot,Seine-et-Marne,Sénateur,Les Républicains,
Marie Mercier,Saône-et-Loire,Sénateur,Les Républicains,
Michel Mercier,Rhône,Sénateur,UDI,
Michelle Meunier,Loire-Atlantique,Sénateur,Parti socialiste,
Jacques Mézard,Cantal,Sénateur,Parti Radical de Gauche,
Danielle Michel,Landes,Sénateur,Parti socialiste,
Brigitte Micouleau,Haute-Garonne,Sénateur,Les Républicains,
Alain Milon,Vaucluse,Sénateur,Les Républicains,
Gérard Miquel,Lot,Sénateur,Parti socialiste,
Thani Mohamed Soilihi,Mayotte,Sénateur,Parti socialiste,
Marie-Pierre Monier,Drôme,Sénateur,Parti socialiste,
Franck Montaugé,Gers,Sénateur,Parti socialiste,
Patricia Morhet-Richaud,Hautes-Alpes,Sénateur,Les Républicains,
Catherine Morin-Desailly,Seine-Maritime,Sénateur,Nouveau Centre/UDI,
Jean-Marie Morisset,Deux-Sèvres,Sénateur,Les Républicains,
Philippe Mouiller,Deux-Sèvres,Sénateur,Les Républicains,
Philippe Nachbar,Meurthe-et-Moselle,Sénateur,Les Républicains,
Christian Namy,Meuse,Sénateur,Parti Radical/UDI,
Robert Navarro,Hérault,Sénateur,Sans étiquette,
Louis Nègre,Alpes-Maritimes,Sénateur,Les Républicains,
Alain Néri,Puy-de-Dôme,Sénateur,Parti socialiste,
Claude Nougein,Corrèze,Sénateur,Les Républicains,
Jean-Jacques Panunzi,Corse-du-Sud,Sénateur,Les Républicains,
Georges Patient,Guyane,Sénateur,Parti socialiste,
François Patriat,Côte-d'Or,Sénateur,Parti socialiste,
Philippe Paul,Finistère,Sénateur,Les Républicains,
Cyril Pellevat,Haute-Savoie,Sénateur,Les Républicains,
Daniel Percheron,Pas-de-Calais,Sénateur,Parti socialiste,
Marie-Françoise Perol-Dumont,Haute-Vienne,Sénateur,Parti socialiste,
Cédric Perrin,Territoire de Belfort,Sénateur,Les Républicains,
Jackie Pierre,Vosges,Sénateur,Les Républicains,
François Pillet,Cher,Sénateur,Les Républicains,
Xavier Pintat,Gironde,Sénateur,Les Républicains,
Louis Pinton,Indre,Sénateur,Les Républicains,
Jean-Vincent Placé,Essonne,Sénateur,Union des démocrates et écologistes,
Hervé Poher,Pas-de-Calais,Sénateur,Parti socialiste,
Rémy Pointereau,Cher,Sénateur,Les Républicains,
Ladislas Poniatowski,Eure,Sénateur,Les Républicains,
Hugues Portelli,Val-d'Oise,Sénateur,Les Républicains,
Yves Pozzo Di Borgo,Paris,Sénateur,UDI,
Sophie Primas,Yvelines,Sénateur,Les Républicains,
Catherine Procaccia,Val-de-Marne,Sénateur,Les Républicains,
Christine Prunaud,Côtes-d'Armor,Sénateur,Parti Communiste Français,
David Rachline,Var,Sénateur,Front National,
Jean-Pierre Raffarin,Vienne,Sénateur,Les Républicains,
Michel Raison,Haute-Saône,Sénateur,Les Républicains,
Daniel Raoul,Maine-et-Loire,Sénateur,Parti socialiste,
Jean-François Rapin,Pas-de-Calais,Sénateur,Les Républicains,
Stéphane Ravier,Bouches-du-Rhône,Sénateur,Front National,
Claude Raynal,Haute-Garonne,Sénateur,Parti socialiste,
André Reichardt,Bas-Rhin ,Sénateur,Les Républicains,
Daniel Reiner,Meurthe-et-Moselle,Sénateur,Parti socialiste,
Jean-Claude Requier,Lot,Sénateur,Parti Radical de Gauche,
Bruno Retailleau,Vendée,Sénateur,Les Républicains,
Charles Revet,Seine-Maritime,Sénateur,Les Républicains,
Alain Richard,Val-d'Oise,Sénateur,Parti socialiste,
Stéphanie Riocreux,Indre-et-Loire,Sénateur,Parti socialiste,
Évelyne Rivollier,Loire,Sénateur,Divers gauche,
Didier Robert,La Réunion,Sénateur,Les Républicains,
Sylvie Robert,Ille-et-Vilaine,Sénateur,Parti socialiste,
Gérard Roche,Haute-Loire,Sénateur,Nouveau Centre/UDI,
Gilbert Roger,Seine-Saint-Denis,Sénateur,Parti socialiste,
Yves Rome,Oise,Sénateur,Parti socialiste,
Jean-Yves Roux,Alpes de Haute-Provence,Sénateur,Parti socialiste,
Bernard Saugey,Isère,Sénateur,Les Républicains,
René-Paul Savary,Marne,Sénateur,Les Républicains,
Michel Savin,Isère,Sénateur,Les Républicains,
Patricia Schillinger,Haut-Rhin,Sénateur,Parti socialiste,
Bruno Sido,Haute-Marne,Sénateur,Les Républicains,
Abdourahamane Soilihi,Mayotte,Sénateur,Les Républicains,
Jean-Pierre Sueur,Loiret,Sénateur,Parti socialiste,
Simon Sutour,Gard,Sénateur,Parti socialiste,
Henri Tandonnet,Lot-et-Garonne,Sénateur,UDI,
Catherine Tasca,Yvelines,Sénateur,Parti socialiste,
Lana Tetuanui,Polynésie Française,Sénateur,Tapura Huiraatira/UDI,
Nelly Tocqueville,Seine-Maritime,Sénateur,Parti socialiste,
Jean-Louis Tourenne,Ille-et-Vilaine,Sénateur,Parti socialiste,
André Trillard,Loire-Atlantique,Sénateur,Les Républicains,
Catherine Troendlé,Haut-Rhin,Sénateur,Les Républicains,
Alex Türk,Nord,Sénateur,Sans étiquette,
Raymond Vall,Gers,Sénateur,Parti Radical de Gauche,
René Vandierendonck,Nord,Sénateur,Parti socialiste,
Jean-Marie Vanlerenberghe,Pas-de-Calais,Sénateur,Mouvement Démocrate (MoDEM),
Michel Vaspart,Côtes-d'Armor,Sénateur,Les Républicains,
Alain Vasselle,Oise,Sénateur,Les Républicains,
Yannick Vaugrenard,Loire-Atlantique,Sénateur,Parti socialiste,
Hilarion Vendegou,Nouvelle-Calédonie,Sénateur,Rassemblement - Les Républicains,
Bernard Vera,Essonne,Sénateur,Parti Communiste Français,
Paul Vergès,La Réunion,Sénateur,Parti Communiste Français,
Michel Vergoz,La Réunion,Sénateur,Parti socialiste,
Jean-Pierre Vial,Savoie,Sénateur,Les Républicains,
Maurice Vincent,Loire,Sénateur,Parti socialiste,
Jean Pierre Vogel,Sarthe,Sénateur,Les Républicains,
Dominique Watrin,Pas-de-Calais,Sénateur,Parti Communiste Français,
Évelyne Yonnet,Seine-Saint-Denis,Sénateur,Parti socialiste,
Richard Yung,Français établis hors de France,Sénateur,Parti socialiste,
François Zocchetto,Mayenne,Sénateur,UDI,
